"author","title","journal","year","doi_link","article.type"
"Landegren N","Editorial: Gender affirming hormone therapy and its immunological implications","Frontiers in Immunology",2026,"www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2026.1832442/full","Editorial"
"Kocabas G Ü","Impact of testosterone-based gender-affirming hormone therapy on toll-like receptor transcript levels and peripheral blood leukocyte counts in transmasculine individuals","Frontiers in Immunology",2026,"www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2026.1752956/full","Data Analysis"
"Sungnuch P","Non-Medical Gender Affirming Practices Among Transgender Individuals: A Systematic Review on the Health Implications of Chest Binding and Genital Tucking","International Journal of Sexual Health",2026,"doi.org/10.1080/19317611.2025.2560416","Data Analysis"
"Clayton A","Obstacles to progress in paediatric gender medicine","European Journal of Developmental Psychology",2025,"www.tandfonline.com/doi/full/10.1080/17405629.2025.2546574","Editorial"
"Coenen I","Plasma testosterone concentration is correlated with circulating immune cell abundance in transgender young people on gender-affirming hormone treatment","Frontiers in Immunology",2025,"www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2025.1608543/full","Data Analysis"
"Ashman A","Critically appraising the Cass Report: Methodological flaws and unsupported claims","BMC Medical Research Methodology",2025,"doi.org/10.1186/s12874-025-02581-7","Review"
"Laberthonniere C","Epigenetic remodeling by sex hormone receptors and implications for gender affirming hormone therapy","Frontiers in Immunology",2025,"www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2025.1501959/full","Review"
"Sardh F","Immune dynamics throughout life in relation to sex hormones and perspectives gained from gender-affirming hormone therapy","Frontiers in Immunology",2025,"www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2024.1501364/full","Review"
"Heathcote C","Clinical guidelines for children and adolescents experiencing gender dysphoria or incongruence: a systematic review of guideline quality (part 1)","Archives of Disease in Childhood",2024,"adc.bmj.com/lookup/doi/10.1136/archdischild-2023-326499","Data Analysis"
"Langton T","Care pathways of children and adolescents referred to specialist gender services: a systematic review","Archives of Disease in Childhood",2024,"adc.bmj.com/content/early/2024/04/09/archdischild-2023-326760","Data Analysis"
"Heathcote C","Clinical guidelines for children and adolescents experiencing gender dysphoria or incongruence: a systematic review of recommendations (part 2)","Archives of Disease in Childhood",2024,"adc.bmj.com/lookup/doi/10.1136/archdischild-2023-326500","Data Analysis"
"Langton T","Characteristics of children and adolescents referred to specialist gender services: a systematic review","Archives of Disease in Childhood",2024,"adc.bmj.com/lookup/doi/10.1136/archdischild-2023-326681","Data Analysis"
"Wilson P","A PRISMA systematic review of adolescent gender dysphoria literature: 2) mental health","PLOS Global Public Health",2024,"journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0000426","Review"
"Laborda T J","Bicalutamide-Induced Hepatotoxicity in a Transgender Male-to-Female Adolescent","Journal of Adolescent Health",2024,"linkinghub.elsevier.com/retrieve/pii/S1054139X23004342","Case Study"
"Klink D T","Transgender Girls Grow Tall: Adult Height Is Unaffected by GnRH Analogue and Estradiol Treatment","The Journal of Clinical Endocrinology & Metabolism",2022,"academic.oup.com/jcem/advance-article/doi/10.1210/clinem/dgac349/6603101","Data Analysis"
"Wilson P","A PRISMA systematic review of adolescent gender dysphoria literature: 1) Epidemiology","PLOS Global Public Health",2022,"dx.plos.org/10.1371/journal.pgph.0000245","Data Analysis"
"Borer J G","Prostatic metaplasia of the vagina in transmasculine individuals","World Journal of Urology",2022,"link.springer.com/10.1007/s00345-021-03907-y","Data Analysis"
"Panting H","Supporting young people to manage gender-related distress using third-wave cognitive behavioural theory, ideas and practice","Clinical Child Psychology and Psychiatry",2022,"https://psychiatryonline.org/doi/10.1176/appi.ajp.2020.19111130","Editorial"
"McDougall R J","A Waitlist Intervention for Transgender Young People and Psychosocial Outcomes","Pediatrics",2021,"publications.aap.org/pediatrics/article/148/2/e2020042762/179754/A-Waitlist-Intervention-for-Transgender-Young","Data Analysis"
"Millet C","Acute Pancreatitis in the Transgender Population","Cureus",2021,"www.cureus.com/articles/63707-acute-pancreatitis-in-the-transgender-population","Case Study"
"Arif I","International clinical practice guidelines for gender minority/trans people: systematic review and quality assessment","BMJ Open",2021,"bmjopen.bmj.com/lookup/doi/10.1136/bmjopen-2021-048943","Data Analysis"
"Dawood K","Pubertal timing predicts adult psychosexuality: Evidence from typically developing adults and adults with isolated GnRH deficiency","Psychoneuroendocrinology",2020,"linkinghub.elsevier.com/retrieve/pii/S0306453020301529","Data Analysis"
"Grossman M","Gender-Affirmation Surgery Conclusion Lacks Evidence","American Journal of Psychiatry",2020,"http://ajp.psychiatryonline.org/doi/10.1176/appi.ajp.2020.19111130","Editorial"
"Haraldsen I","Spatial memory is impaired by peripubertal GnRH agonist treatment and testosterone replacement in sheep","Psychoneuroendocrinology",2017,"www.sciencedirect.com/science/article/pii/S0306453016305595","Data Analysis"
"Maruca F","Nutritional Monitoring During Gender-Affirming Hormone Therapy: Body Composition and Metabolic Implications","Nutrients",2026,"www.mdpi.com/2072-6643/18/12/1967","Data Analysis"
"Knoll M M","Changes in Suicidality among Transgender Adolescents Following Hormone Therapy: An Extended Study","The Journal of Pediatrics",2026,"linkinghub.elsevier.com/retrieve/pii/S002234762500424X","Data Analysis"
"Palmer D","The Cass Review and Gender-Related Care for Young People in Canada: A Commentary on the Canadian Paediatric Society Position Statement on Transgender and Gender-Diverse Youth","Archives of Sexual Behavior",2025,"doi.org/10.1007/s10508-025-03335-8","Editorial"
"Kaliebe K","Obstacles to progress in paediatric gender medicine","European Journal of Developmental Psychology",2025,"www.tandfonline.com/doi/full/10.1080/17405629.2025.2546574","Editorial"
"Hannema S E","Sexual satisfaction and dysfunction in transgender adults following puberty suppression treatment during adolescence","The Journal of Sexual Medicine",2025,"doi.org/10.1093/jsxmed/qdaf095","Data Analysis"
"Kinitz D J","“Providers had no idea what to do with me”: A mixed-methods analysis of detransition/retransition support, care, and information needs among sexual and gender minority individuals","International Journal of Transgender Health",2025,"www.tandfonline.com/doi/full/10.1080/26895269.2025.2538744","Data Analysis"
"Wong C F","Mental and Emotional Health of Youth after 24 months of Gender-Affirming Medical Care Initiated with Pubertal Suppression","medRxiv",2025,"www.medrxiv.org/content/10.1101/2025.05.14.25327614v1","Preprint"
"Doyle D M","Gender-affirming medical treatment for adolescents: A critical reflection on “effective” treatment outcomes","BMC Medical Ethics",2024,"bmcmedethics.biomedcentral.com/articles/10.1186/s12910-024-01143-8","Review"
"KulatungaMoruzi C","Mastectomy for individuals with gender dysphoria below 26 years of age: A systematic review and meta-analysis","Plastic and Reconstructive Surgery",2024,"journals.lww.com/10.1097/PRS.0000000000011734","Data Analysis"
"Hsu C Y","Gender-affirming hormone therapy and suicide-related outcomes in transgender and gender-diverse populations: a systematic review and meta-analysis","Mental Wellness",2026,"www.mental-wellness-journal.net/mw/article/view/42","Data Analysis"
"Jarvis S W","Psychosocial support interventions for children and adolescents experiencing gender dysphoria or incongruence: a systematic review","Archives of Disease in Childhood",2024,"adc.bmj.com/content/early/2024/04/09/archdischild-2023-326347","Data Analysis"
"Heathcote C","Impact of social transition in relation to gender for children and adolescents: a systematic review","Archives of Disease in Childhood",2024,"adc.bmj.com/content/early/2024/04/09/archdischild-2023-326112","Data Analysis"
"KulatungaMoruzi C","Puberty blockers for gender dysphoria in youth: A systematic review and meta-analysis","Archives of Disease in Childhood",2025,"adc.bmj.com/content/early/2025/01/29/archdischild-2024-327909","Data Analysis"
"Ligges C","Beyond NICE: Updated systematic review on the current evidence for using puberty blockers and cross-sex hormones in minors with gender dysphoria: Electronic supplementary online materials I: adapted abbreviated English version","Zeitschrift für Kinder- und Jugendpsychiatrie und Psychotherapie",2024,"econtent.hogrefe.com/doi/suppl/10.1024/1422-4917/a000972/suppl_file/1422-4917_a000972_esm1.pdf","Data Analysis"
"Heathcote C","Interventions to suppress puberty in adolescents experiencing gender dysphoria or incongruence: a systematic review","Archives of Disease in Childhood",2024,"adc.bmj.com/content/early/2024/04/09/archdischild-2023-326669","Data Analysis"
"Irwin L","A PRISMA systematic review of adolescent gender dysphoria literature: 3) treatment","PLOS Global Public Health",2023,"dx.plos.org/10.1371/journal.pgph.0001478","Data Analysis"
"Rydelius P A","A systematic review of hormone treatment for children with gender dysphoria and recommendations for research","Acta Paediatrica",2023,"onlinelibrary.wiley.com/doi/abs/10.1111/apa.16791","Data Analysis"
"KulatungaMoruzi C","Gender affirming hormone therapy for individuals with gender dysphoria aged <26 years: a systematic review and meta-analysis","Archives of Disease in Childhood",2025,"adc.bmj.com/content/early/2025/02/06/archdischild-2024-327921","Data Analysis"
"Langton T","Masculinising and feminising hormone interventions for adolescents experiencing gender dysphoria or incongruence: a systematic review","Archives of Disease in Childhood",2024,"adc.bmj.com/content/early/2024/04/09/archdischild-2023-326670","Data Analysis"
"Ramos R B","The Effect of Gender-Affirming Hormone Therapy on the Risk of Subclinical Atherosclerosis in the Transgender Population: A Systematic Review","Endocrine Practice",2023,"linkinghub.elsevier.com/retrieve/pii/S1530891X22009090","Data Analysis"
"Dukhanin V","Hormone Therapy, Mental Health, and Quality of Life Among Transgender People: A Systematic Review","Journal of the Endocrine Society",2021,"academic.oup.com/jes/article/doi/10.1210/jendso/bvab011/6126016","Data Analysis"
"May T","Hormonal Treatment in Young People With Gender Dysphoria: A Systematic Review","Pediatrics",2018,"www.academia.edu/57779740/Hormonal_Treatment_in_Young_People_With_Gender_Dysphoria_A_Systematic_Review","Data Analysis"
"Karvonen M","Quality of the World Professional Association for Transgender Health Guideline Standards of Care 8: An Appraisal Using the AGREE II Instrument","Archives of Sexual Behavior",2026,"link.springer.com/10.1007/s10508-025-03399-6","Data Analysis"
"Caironi V","Endocrine care of transgender and gender-diverse adults: Swiss recommendations","Swiss Medical Weekly",2026,"smw.ch/index.php/smw/article/view/5059","Review"
"Claahsenvan de Grinten H L","Endocrine Management of Transgender and Gender-Diverse Adolescents: Expert Opinion of the ESPE Working Group on Gender Incongruence and the Endo-ERN Main Thematic Group on Sexual Development and Maturation","Hormone Research in Paediatrics",2024,"doi.org/10.1159/000542904","Review"
"Brown G R","Standards of care for the health of transgender and gender diverse people, version 8","International Journal of Transgender Health",2022,"www.tandfonline.com/doi/full/10.1080/26895269.2022.2100644","Review"
"Hannema S E","Endocrine Treatment of Gender-Dysphoric/Gender-Incongruent Persons: An Endocrine Society Clinical Practice Guideline","Endocrine Practice",2017,"academic.oup.com/jcem/article/102/11/3869/4157558","Review"
"Hill A","Gender Dysphoria in children and young people: The implications for clinical staff of the Bell V’s Tavistock Judicial Review and Appeal Ruling","Journal of Clinical Nursing",2021,"onlinelibrary.wiley.com/doi/10.1111/jocn.16164","Editorial"
"Caspian J","The communication of evidence to inform trans youth health care","The Lancet Child & Adolescent Health",2021,"www.thelancet.com/journals/lanchi/article/PIIS2352-4642(21)00197-8/abstract","Editorial"
"Beck S","Letter to the Editor from William J. Malone et al: “Proper Care of Transgender and Gender-diverse Persons in the Setting of Proposed Discrimination: A Policy Perspective”","The Journal of Clinical Endocrinology & Metabolism",2021,"academic.oup.com/jcem/advance-article/doi/10.1210/clinem/dgab205/6190133","Editorial"
"Lopez X","Proper Care of Transgender and Gender Diverse Persons in the Setting of Proposed Discrimination: A Policy Perspective*","The Journal of Clinical Endocrinology & Metabolism",2021,"academic.oup.com/jcem/article/106/2/305/6031005","Editorial"
